Provider,Fund Name,Interest Rate (%),Fees (%),Minimum Investment,Payout Frequency,Last Updated,Currency,Status,Status As Of
African Alliance Kenya Unit Trust Scheme,African Alliance Kenya Money Market Fund,6.2,2,1000,Monthly,13-Sep,KES,,
British-American Unit Trust Scheme,Britam Money Market Fund,13,2,1000,Monthly,13-Sep,KES,,
British-American Unit Trust Scheme,Britam Money Market Fund (USD),4.66,2,100,Monthly,13-Sep,USD,,
Zimele Unit Trust Scheme,Zimele Fixed Income Fund (formerly Money Market Fund),9.61,2,100,Annually,13-Sep,KES,,
ICEA Unit Trust Scheme,ICEA Money Market Fund,7.8,2,500,Monthly,13-Sep,KES,,
CIC Unit Trust Scheme,CIC Money Market Fund,8.53,2,5000,Monthly,13-Sep,KES,,
Madison Unit Trust Fund,Madison Money Market Fund,10.37,2,5000,Monthly,13-Sep,KES,,
Dyer and Blair Unit Trust Scheme,Dyer and Blair Money Market Fund ,10,2,100000,Monthly,13-Sep,KES,Inactive,Q2 2026
Amana Unit Trust Funds Scheme,Amana Money Market Fund,9.5,2,1000,Monthly,25-Aug,KES,,
Diaspora Unit Trust Scheme,Diaspora Money Market Fund,9.5,2,1000,Monthly,13-Sep,KES,Inactive,Q2 2026
Genghis Unit Trust Funds,GenCap Hela Fund (Money Market Fund),9.1,2,500,Monthly,13-Sep,KES,,
Genghis Unit Trust Funds,GenCap Hela Imara Fund (Money Market Fund),9.1,2,500,Monthly,13-Sep,KES,,
Mali Money Market Fund,Mali Money Market Fund,8,2,100,Monthly,13-Sep,KES,,
SanlamAllianz Unit Trust Scheme ,SanlamAllianz Money Market Fund,9.93,2,2500,Monthly,13-Sep,KES,,
Nabo Africa Funds,Nabo Africa Money Market Fund,9.71,2.25,100000,Monthly,13-Sep,KES,,
Nabo Africa Funds,Nabo Capital Money Market Fund (USD),5.42,1,1000,Monthly,13-Sep,USD,,
Old Mutual Unit Trust Scheme,Old Mutual Money Market Fund,10.33,3.37,1000,Monthly,13-Sep,KES,,
Old Mutual Unit Trust Scheme,Old Mutual Faulu Money Market Fund,11.1,2,1000,Monthly,13-Sep,KES,,
Old Mutual Unit Trust Scheme,Old Mutual Dollar Money Market Fund,5.16,2,1000,Monthly,13-Sep,USD,,
Equity Investment Bank Collective Investment Scheme,Equity Investment Bank Money Market Fund,4.9,2,1000,Monthly,13-Sep,KES,,
Dry Associates Unit Trust Scheme,Dry Associates Money Market Fund (Kenya Shillings),8.95,2,1000000,Monthly,13-Sep,KES,,
Dry Associates Unit Trust Scheme,Dry Associates Money Market Fund (US Dollars),5.41,1.5,10000,Monthly,13-Sep,USD,,
Co-op Trust Fund,Co-op Money Market Fund,7.9,0.9,100,Monthly,13-Sep,KES,,
Apollo Unit Trust Scheme,Apollo Money Market Fund,9.6,2,1000,Monthly,13-Sep,KES,,
Cytonn Unit Trust Scheme,Cytonn Money Market Fund,11.1,2,1000,Monthly,13-Sep,KES,,
Cytonn Unit Trust Scheme,Cytonn Money Market Fund (USD),5.5,1,1000,Monthly,13-Sep,USD,,
Orient Umbrella Collective Investment Scheme (formerly Alphafrica Umbrella Fund),Orient Kasha Money Market Fund,10.09,2,500,Monthly,13-Sep,KES,,
Orient Umbrella Collective Investment Scheme (formerly Alphafrica Umbrella Fund),Orient Dollar Money Market Fund,3.41,1,1000,Monthly,13-Sep,USD,,
Absa Unit Trust Funds,Absa Dollar Money Market Fund,4.04,1,100,Monthly,13-Sep,USD,,
Absa Unit Trust Funds,Absa Shilling Money Market Fund,7.8,2,1000,Monthly,13-Sep,KES,,
Jaza Unit Trust Fund,Jaza Premier Money Market Fund,10,2,5000,Monthly,25-Aug,KES,,
Masaru Unit Trust Scheme,Masaru Money Market Fund ,9.5,2,1000,Monthly,13-Sep,KES,Inactive,Q2 2026
ADAM Unit Trust Scheme,ADAM Money Market Fund,10,2,1000,Monthly,25-Aug,KES,Inactive,Q2 2026
KCB Unit Trust Scheme (formerly Natbank Unit Trust Scheme),KCB Money Market Fund (Kes),8.9,2,5000,Monthly,13-Sep,KES,,
KCB Unit Trust Scheme (formerly Natbank Unit Trust Scheme),KCB Money Market Fund (USD),4.8,2,1000,Monthly,13-Sep,USD,,
GenAfrica Unit Trust Scheme,GenAfrica Money Market Fund,9.9,2,500000,Monthly,13-Sep,KES,,
Jubilee Unit Trust Collective Investment Scheme,Jubilee Money Market Fund(KES),10.51,2,100,Monthly,13-Sep,KES,,
Jubilee Unit Trust Collective Investment Scheme,Jubilee Money Market Fund(USD),5.02,1,100,Monthly,13-Sep,USD,,
Enwealth Capital Unit Trust Scheme,Enwealth Money Market Fund,10.6,2,100,Monthly,13-Sep,KES,,
Enwealth Capital Unit Trust Scheme,Enwealth Dollar Money Market Fund,4.5,2,500,Monthly,13-Sep,USD,,
Kuza Asset Management Unit Trust Scheme,Kuza Money Market Fund (KES),10.47,2,0,Monthly,13-Sep,KES,,
Kuza Asset Management Unit Trust Scheme,Kuza Money Market Fund (USD),4.99,2,100,Monthly,13-Sep,USD,,
Etica Unit Trust Funds,Etica Money Market Fund,11.19,2,100,Monthly,13-Sep,KES,,
Etica Unit Trust Funds,Etica Money Market Fund(USD),5.84,2,100,Monthly,13-Sep,USD,,
Lofty Corban Unit Trust Scheme,Lofty Corban Money Market Fund (KES),10.15,2,1000,Monthly,13-Sep,KES,,
Lofty Corban Unit Trust Scheme,Lofty Corban Money Market Fund (USD),5.65,2,100,Monthly,13-Sep,USD,,
Lofty Corban Unit Trust Scheme,Lofty Corban Special Money Market Fund,9.5,2,1000000,Monthly,13-Sep,KES,,
Faida Unit Trust Funds,Oak Money Market Fund,10,2,5000,Monthly,13-Sep,KES,,
Taifa Unit Trust Funds / Ndovu Wealth,Taifa Money Market Fund (KES) / Ndovu Fund,10.5,2,500,Monthly,14-Sep,KES,,
Taifa Unit Trust Funds / Ndovu Wealth,Taifa Money Market Fund (USD) / Ndovu Fund (USD),4.5,2,50,Monthly,14-Sep,USD,,
Stanbic Unit Trust Funds,Stanbic Money Market Fund,5.25,2,1000,Monthly,14-Sep,KES,,
Rencap Unit Trust Scheme,Rencap Money Market Fund(KES),10,2,1000,Monthly,13-Sep,KES,Inactive,Q2 2026
Rencap Unit Trust Scheme,Rencap Money Market Fund(USD),4.5,2,1000,Monthly,13-Sep,USD,Inactive,Q2 2026
Mayfair umbrella Collective Investment Scheme,Mayfair Money Market Fund,8.1,2,5000,Monthly,14-Sep,KES,,
Investcent Partners Trust Fund,Investcent Money Market Fund (KES),10,2,2000,Monthly,14-Sep,KES,Inactive,Q2 2026
Investcent Partners Trust Fund,Investcent Money Market Fund (USD),4.5,2,20,Monthly,14-Sep,USD,Inactive,Q2 2026
ICEA LION Collective Investment Scheme,ICEA LION Money Market Fund,7.8,2,500,Monthly,13-Sep,KES,,
GulfCap Investment Bank,GCIB Money Market Fund,10.1,2,1000,Monthly,14-Sep,KES,,
CPF Unit Trust Funds,CPF Money Market Fund,9.2,3,1000,Monthly,14-Sep,KES,,
CPF Unit Trust Funds,CPF USD Money Market Fund,4.5,3,1000,Monthly,14-Sep,USD,,
Arvocap Unit Trust Scheme,Arvocap Money Market Fund,10.28,2,3000,Monthly,13-Sep,KES,,
MyXENO Unit Trust Scheme,Xeno Kenya Money Market Fund,6.79,1.5,500,Monthly,14-Sep,KES,,
GCIB Unit Trust Funds,GulfCap Money Market Fund,10.1,2,1000,Monthly,14-Sep,KES,,
Octagon Unit Trust Scheme,Octagon Money Market Fund,10,2,1000,Monthly,13-Sep,KES,Inactive,Q2 2026
Octagon Unit Trust Scheme,Octagon USD Dollar Money Market Fund,4.5,2,1000,Monthly,13-Sep,USD,Inactive,Q2 2026
Ziidi Collective Investment Scheme,Ziidi Money Market Fund,6,2,100,Monthly,14-Sep,KES,,
Ziidi Shariah Money Market Fund,Ziidi Shariah Money Market Fund,9.5,2,100,Monthly,13-Sep,KES,,
