Date,Open,High,Low,Close
2016-07-08,14.1,14.1,14.1,14.1
2016-07-11,14.1,14.1,14.1,14.1
2016-07-12,14.1,14.1,14.1,14.1
2016-07-13,14.563,14.563,14.563,14.563
2016-07-14,14.1,14.1,14.1,14.1
2016-07-15,14.1,14.1,14.1,14.1
2016-07-18,14.1,14.1,14.1,14.1
2016-07-19,14.1,14.1,14.1,14.1
2016-07-20,14.1,14.1,14.1,14.1
2016-07-21,14.1,14.1,14.1,14.1
2016-07-22,14.1,14.1,14.1,14.1
2016-07-25,14.563,14.563,14.563,14.563
2016-07-26,14.563,14.563,14.563,14.563
2016-07-27,14.8,14.8,14.8,14.8
2016-07-28,14.8,14.8,14.8,14.8
2016-07-29,14.8,14.8,14.8,14.8
2016-08-01,14.8,14.8,14.8,14.8
2016-08-02,14.8,14.8,14.8,14.8
2016-08-03,14.8,14.8,14.8,14.8
2016-08-04,14.8,14.8,14.8,14.8
2016-08-05,14.8,14.8,14.8,14.8
2016-08-08,14.6,14.6,14.6,14.6
2016-08-09,14.6,14.6,14.6,14.6
2016-08-10,14.5,14.5,14.5,14.5
2016-08-11,14.5,14.5,14.5,14.5
2016-08-12,14.6,14.6,14.6,14.6
2016-08-15,14.5,14.5,14.5,14.5
2016-08-16,14.5,14.5,14.5,14.5
2016-08-17,14.6,14.6,14.6,14.6
2016-08-18,14.6,14.6,14.6,14.6
2016-08-19,14.5,14.5,14.5,14.5
2016-08-22,14.668,14.668,14.668,14.668
2016-08-23,14.5,14.5,14.5,14.5
2016-08-24,14.6,14.6,14.6,14.6
2016-08-25,14.5,14.5,14.5,14.5
2016-08-26,14.5,14.5,14.5,14.5
2016-08-29,14.5,14.5,14.5,14.5
2016-08-30,15.15,15.15,15.15,15.15
2016-08-31,14.8,14.8,14.8,14.8
2016-09-01,14.35,14.35,14.35,14.35
2016-09-02,14.5,14.5,14.5,14.5
2016-09-05,14.5,14.5,14.5,14.5
2016-09-06,14.6,14.6,14.6,14.6
2016-09-07,14.6,14.6,14.6,14.6
2016-09-08,14.6,14.6,14.6,14.6
2016-09-09,14.1,14.1,14.1,14.1
2016-09-12,14.1,14.1,14.1,14.1
2016-09-13,14.2,14.2,14.2,14.2
2016-09-14,14.1,14.1,14.1,14.1
2016-09-15,14.1,14.1,14.1,14.1
2016-09-16,14.6,14.6,14.6,14.6
2016-09-19,13.927,13.927,13.927,13.927
2016-09-20,14,14,14,14
2016-09-21,14.5,14.5,14.5,14.5
2016-09-22,14,14,14,14
2016-09-23,14.6,14.6,14.6,14.6
2016-09-26,14.2,14.2,14.2,14.2
2016-09-27,14.1,14.1,14.1,14.1
2016-09-28,14.1,14.1,14.1,14.1
2016-09-29,13.3,13.3,13.3,13.3
2016-09-30,13.3,13.3,13.3,13.3
2016-10-03,13,13,13,13
2016-10-04,13.3,13.3,13.3,13.3
2016-10-05,13,13,13,13
2016-10-06,13.3,13.3,13.3,13.3
2016-10-07,13.3,13.3,13.3,13.3
2016-10-10,13.3,13.3,13.3,13.3
2016-10-11,13.3,13.3,13.3,13.3
2016-10-12,13.5,13.5,13.5,13.5
2016-10-13,13.5,13.5,13.5,13.5
2016-10-14,13.3,13.3,13.3,13.3
2016-10-17,13.3,13.3,13.3,13.3
2016-10-18,13.5,13.5,13.5,13.5
2016-10-19,13.2,13.2,13.2,13.2
2016-10-20,13.3,13.3,13.3,13.3
2016-10-21,13.3,13.3,13.3,13.3
2016-10-24,13.5,13.5,13.5,13.5
2016-10-25,13.5,13.5,13.5,13.5
2016-10-26,13.5,13.5,13.5,13.5
2016-10-27,13.5,13.5,13.5,13.5
2016-10-28,13.5,13.5,13.5,13.5
2016-10-31,13.3,13.3,13.3,13.3
2016-11-01,13.3,13.3,13.3,13.3
2016-11-02,13.3,13.3,13.3,13.3
2016-11-03,13.5,13.5,13.5,13.5
2016-11-04,13.5,13.5,13.5,13.5
2016-11-07,13.5,13.5,13.5,13.5
2016-11-08,13.2,13.2,13.2,13.2
2016-11-09,13.2,13.2,13.2,13.2
2016-11-10,13.2,13.2,13.2,13.2
2016-11-11,13.464,13.464,13.464,13.464
2016-11-14,13.464,13.464,13.464,13.464
2016-11-16,13.464,13.464,13.464,13.464
2016-11-17,13.464,13.464,13.464,13.464
2016-11-18,13.463,13.463,13.463,13.463
2016-11-21,13.464,13.464,13.464,13.464
2016-11-22,13.464,13.464,13.464,13.464
2016-11-23,13.464,13.464,13.464,13.464
2016-11-24,13.464,13.464,13.464,13.464
2016-11-25,13.4,13.4,13.4,13.4
2016-11-28,14.4,14.4,14.4,14.4
2016-11-29,14.337,14.337,14.337,14.337
2016-11-30,14.4,14.4,14.4,14.4
2016-12-01,14.337,14.337,14.337,14.337
2016-12-02,14.337,14.337,14.337,14.337
2016-12-05,14.55,14.55,14.55,14.55
2016-12-06,14.459,14.459,14.459,14.459
2016-12-07,14.459,14.459,14.459,14.459
2016-12-08,14.474,14.474,14.474,14.474
2016-12-09,14.424,14.424,14.424,14.424
2016-12-12,14.424,14.424,14.424,14.424
2016-12-13,14.55,14.55,14.55,14.55
2016-12-14,14.48,14.48,14.48,14.48
2016-12-15,14.48,14.48,14.48,14.48
2016-12-16,14.48,14.48,14.48,14.48
2016-12-19,14.48,14.48,14.48,14.48
2016-12-20,14.48,14.48,14.48,14.48
2016-12-21,14.48,14.48,14.48,14.48
2016-12-22,14.55,14.55,14.55,14.55
2016-12-23,14.48,14.48,14.48,14.48
2016-12-26,14.48,14.48,14.48,14.48
2016-12-27,14.48,14.48,14.48,14.48
2016-12-28,14.7,14.7,14.7,14.7
2016-12-29,14.2,14.2,14.2,14.2
2016-12-30,14.087,14.087,14.087,14.087
2017-01-02,14.087,14.087,14.087,14.087
