Date,Market Capitalization (KES bn),Previous Market Capitalization (KES bn),Shares Traded,Previous Shares Traded,Equity Turnover (KES),Previous Equity Turnover (KES),Total Deals,Previous Total Deals,Source
2026-08-27,4133.186,4132.695,31686969,35728433,1093836369,1118052653,13677,13217,https://www.nse.co.ke/wp-content/uploads/27-AUG-26.pdf
2026-08-28,4168.27,4133.186,51815649,31686969,1847326305,1093836369,14324,13677,https://www.nse.co.ke/wp-content/uploads/28-AUG-26.pdf
2026-08-31,4217.907,4168.27,38673965,51815649,1340314569,1847326305,16027,14324,https://www.nse.co.ke/wp-content/uploads/31-AUG-26.pdf
2026-09-01,4241.077,4217.907,34550227,38673965,1075436447,1340314569,16475,16027,https://www.nse.co.ke/wp-content/uploads/01-SEP-26.pdf
2026-09-02,4272.777,4241.077,54054741,34550227,2504892742,1075436447,18548,16475,https://www.nse.co.ke/wp-content/uploads/02-SEP-26.pdf
2026-09-03,4285.169,4272.777,40429451,54054741,2123327446,2504892742,20470,18548,https://www.nse.co.ke/wp-content/uploads/03-SEP-26.pdf
2026-09-04,4284382,4285.169,34378234,40429451,1316126559,2123327446,19524,20470,https://www.nse.co.ke/wp-content/uploads/04-SEP-26.pdf
2026-09-07,4258.067,4284382,32309516,34378234,1025172309,1316126559,20868,19524,https://www.nse.co.ke/wp-content/uploads/07-SEP-26.pdf
2026-09-08,4211.046,4258.067,21798608,32309516,821335168,1025172309,19118,20868,https://www.nse.co.ke/wp-content/uploads/08-SEP-26.pdf
2026-09-09,4178.448,4211.046,21879043,21798608,1010616678,821335168,16495,19118,https://www.nse.co.ke/wp-content/uploads/09-SEP-26.pdf
2026-09-10,4154075,4178.448,30954794,21879043,2233148404,1010616678,13968,16495,https://www.nse.co.ke/wp-content/uploads/10-SEP-26.pdf
2026-09-11,4106.967,4154075,33724248,30954794,1535238075,2233148404,14935,13968,https://www.nse.co.ke/wp-content/uploads/11-SEP-26.pdf
2026-09-14,4118.635,4106.967,25464291,33724248,963430926,1535238075,13691,14935,https://www.nse.co.ke/wp-content/uploads/14-SEP-26.pdf
2026-09-15,4126.846,4118.635,21071471,25464291,1818181426,963430926,13098,13691,https://www.nse.co.ke/wp-content/uploads/15-SEP-26.pdf
2026-09-16,3987.241,4126.846,37273831,21071471,1410789124,1818181426,17654,13098,https://www.nse.co.ke/wp-content/uploads/16-SEP-26.pdf
2026-09-17,3948.2,3987.241,61176420,37273831,3545908432,1410789124,17725,17654,https://www.nse.co.ke/wp-content/uploads/17-SEP-26.pdf
2026-09-18,4004.44,3948.2,43123739,61176420,1629732559,3545908432,13774,47725,https://www.nse.co.ke/wp-content/uploads/18-SEP-26.pdf
2026-09-21,4129.385,4004.44,29385785,43123739,1018334094,1629732559,15206,13774,https://www.nse.co.ke/wp-content/uploads/21-SEP-26.pdf
2026-09-22,4157.695,4129.385,23176728,29385785,1035480613,1018334094,12699,15206,https://www.nse.co.ke/wp-content/uploads/22-SEP-26.pdf
2026-09-23,4148.655,4157.695,17192444,23176728,646926519,1035480613,13544,12699,https://www.nse.co.ke/wp-content/uploads/23-SEP-26.pdf
2026-09-24,4169.654,4148.655,24391599,17192444,1182419922,646926519,12893,13544,https://www.nse.co.ke/wp-content/uploads/24-SEP-26.pdf
2026-09-25,4170.518,4169.654,18257046,24391599,751227582,1182419922,13326,12893,https://www.nse.co.ke/wp-content/uploads/25-SEP-26.pdf
