Fund ID,Provider,Fund Name,Strategy,Currency,Projection Rate (%),Rate Type,Rate Period,Minimum Investment,Minimum Top Up,Lock-in (Months),Withdrawal Time,Management Fee,Performance Fee,AUM (KES),Market Share (%),AUM Date,Last Updated,Status,Performance Source,Terms Source
mansa-x-kes,Standard Investment Trust Fund,Mansa-X Special Fund KES,Multi-asset,KES,23.15,Annualised net return,H1 2026 annualised,250000,100000,6,48-72 hours,5% financial services charge,10% above 25% hurdle,163843836001,64.8,2026-06-30,2026-09-22,Reported Q2 2026,https://sib.co.ke/understanding-special-funds-in-kenya/,https://sib.co.ke/mansa-x/
mansa-x-usd,Standard Investment Trust Fund,Mansa-X Special Fund USD,Multi-asset,USD,13.51,Annualised net return,H1 2026 annualised,2500,1000,6,48-72 hours,5% financial services charge,10% above 15% hurdle,20550633361,8.1,2026-06-30,2026-09-22,Reported Q2 2026,https://sib.co.ke/understanding-special-funds-in-kenya/,https://sib.co.ke/mansa-x/
oak-multi-asset-kes,Faida Unit Trust Funds,Oak Multi Asset Special KES Fund,Multi-asset,KES,20.00,Target net return,Published target (Q1 2026),500000,50000,6,,6% p.a. pro-rated,,19018200661,7.5,2026-06-30,2026-03-31,Reported Q2 2026,https://oak.africa/,https://oak.africa/
madison-wealth,Madison Unit Trust Funds,Madison Wealth Fund,Wealth strategy,KES,11.91,Effective annual yield,February 2026,1000000,1000000,6,Monthly income distribution,2% p.a.,,10395721978,4.1,2026-06-30,2026-02-28,Reported Q2 2026,https://www.madison.co.ke/investmentmanagers/,https://www.madison.co.ke/investmentmanagers/
britam-special-fixed-income,Britam Unit Trust Scheme,Britam Special Fixed Income Fund,Special fixed income,KES,9.94,Recent annual yield,Current published rate,100000,,3,At maturity; 25% of income earned on early redemption,1%-2% depending on tenor,,6405762697,2.5,2026-06-30,2026-09-23,Reported Q2 2026,https://ke.britam.com/save-and-invest/personal/invest/unit-trust-funds,https://ke.britam.com/save-and-invest/personal/invest/unit-trust-funds
old-mutual-special-fixed-income,Old Mutual Unit Trust Scheme,Old Mutual Special Fixed Income,Special fixed income,KES,11.61,Effective annual rate,23 Sep 2026,1000000,100000,6,,,,5595962919,2.2,2026-06-30,2026-09-23,Reported Q2 2026,https://www.oldmutual.co.ke/personal/save-and-invest/unit-trusts,https://www.oldmutual.co.ke/personal/save-and-invest/unit-trusts
etica-special-multi-asset,Etica Unit Trust Fund,Etica Special Multi Asset Fund,Multi-asset,KES,22.13,Effective net annual yield,Q2 2026,250000,100000,6,,Up to 5% p.a. of NAV,,4196064991,1.7,2026-06-30,2026-09-22,Reported Q2 2026,https://eticacap.com/etica-special-multi-asset-fundkes/,https://eticacap.com/etica-special-multi-asset-fundkes/
mansa-x-shariah-kes,Standard Investment Trust Fund,Mansa-X Shariah Special Fund KES,Shariah multi-asset,KES,13.91,Annualised net return,H1 2026 annualised,100000,100000,6,,5% financial services charge,10% above 25% hurdle,3628167037,1.4,2026-06-30,2026-09-22,Reported Q2 2026,https://sib.co.ke/understanding-special-funds-in-kenya/,https://sib.co.ke/najah/mansa-x-shariah/
spearhead-africa-infrastructure,Spearhead Africa Infrastructure (Special) Fund,Spearhead Africa Infrastructure (Special) Fund,Infrastructure,KES,15.77,Target return (Kenya 10Y yield + 3.0%),23 Sep 2026,100000,,,Quarterly distributions,,,3389846561,1.3,2026-06-30,2026-09-23,Reported Q2 2026,https://www.nse.co.ke/wp-content/uploads/BondPrices_23-SEP-2026.pdf,https://spearheadafrica.com/
arvocap-multi-asset,Arvocap Unit Trust Funds,Arvocap Multi-Asset Strategy Special Fund,Multi-asset,USD,37.77,Trailing 12-month return,12 months to 31 Aug 2026,1000,1000,6,,2% p.a.,20% on net returns,2592197054,1.0,2026-06-30,2026-08-31,Reported Q2 2026,https://www.arvocap.com/arvo-funds/8,https://www.arvocap.com/arvo-funds/8
